id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400578972,12.0,6.0,15.0,9.0,30.0,12.0,33.0,16.0,6.0,17.0,18.0,6.0
400578973,26.0,15.0,13.0,8.0,32.0,12.0,20.0,9.0,11.0,11.0,20.0,5.0
400578974,8.0,3.0,29.0,13.0,17.0,10.0,37.0,18.0,5.0,19.0,7.0,16.0
400578976,30.0,17.0,27.0,12.0,16.0,6.0,15.0,7.0,13.0,8.0,10.0,15.0
400578975,37.0,20.0,26.0,12.0,18.0,10.0,8.0,3.0,17.0,5.0,8.0,14.0
400578977,31.0,15.0,16.0,8.0,30.0,16.0,14.0,7.0,16.0,7.0,14.0,8.0
400578978,7.0,3.0,27.0,14.0,16.0,7.0,37.0,18.0,4.0,19.0,9.0,13.0
400578979,24.0,15.0,27.0,15.0,18.0,6.0,21.0,5.0,9.0,16.0,12.0,12.0
400578980,8.0,5.0,22.0,15.0,23.0,10.0,37.0,17.0,3.0,20.0,13.0,7.0
400578981,29.0,17.0,26.0,13.0,19.0,7.0,17.0,6.0,12.0,11.0,12.0,13.0
400578982,16.0,8.0,14.0,7.0,31.0,11.0,29.0,13.0,8.0,16.0,20.0,7.0
400578983,26.0,13.0,15.0,9.0,31.0,13.0,20.0,9.0,13.0,11.0,18.0,6.0
400578984,15.0,5.0,22.0,12.0,23.0,13.0,33.0,15.0,10.0,18.0,10.0,10.0
400578986,16.0,8.0,37.0,20.0,9.0,3.0,31.0,12.0,8.0,19.0,6.0,17.0
400578985,33.0,19.0,27.0,15.0,19.0,7.0,12.0,5.0,14.0,7.0,12.0,12.0
400578987,12.0,6.0,17.0,6.0,30.0,17.0,34.0,17.0,6.0,17.0,13.0,11.0
400578988,9.0,4.0,37.0,19.0,8.0,4.0,37.0,18.0,5.0,19.0,4.0,18.0
400578989,38.0,21.0,14.0,9.0,32.0,12.0,8.0,3.0,17.0,5.0,20.0,5.0
400578990,16.0,9.0,14.0,7.0,32.0,16.0,28.0,13.0,7.0,15.0,16.0,7.0
400578991,18.0,8.0,15.0,8.0,31.0,13.0,27.0,14.0,10.0,13.0,18.0,7.0
400578992,27.0,16.0,28.0,13.0,16.0,6.0,20.0,9.0,11.0,11.0,10.0,15.0
400578993,24.0,15.0,14.0,7.0,32.0,12.0,22.0,6.0,9.0,16.0,20.0,7.0
400578994,20.0,8.0,17.0,9.0,30.0,16.0,25.0,14.0,12.0,11.0,14.0,8.0
400578995,16.0,8.0,7.0,5.0,36.0,15.0,30.0,14.0,8.0,16.0,21.0,2.0
400578996,27.0,14.0,18.0,7.0,30.0,17.0,20.0,9.0,13.0,11.0,13.0,11.0
400578997,17.0,9.0,29.0,14.0,16.0,6.0,31.0,12.0,8.0,19.0,10.0,15.0
400578998,15.0,5.0,17.0,9.0,31.0,17.0,34.0,16.0,10.0,18.0,14.0,8.0
400578999,31.0,18.0,15.0,8.0,32.0,14.0,16.0,6.0,13.0,10.0,18.0,7.0
400579000,39.0,22.0,37.0,19.0,10.0,5.0,8.0,3.0,17.0,5.0,5.0,18.0
400579001,17.0,7.0,14.0,7.0,33.0,17.0,30.0,16.0,10.0,14.0,16.0,7.0
400579002,34.0,20.0,23.0,16.0,23.0,10.0,12.0,5.0,14.0,7.0,13.0,7.0
400579003,8.0,4.0,20.0,11.0,28.0,11.0,38.0,18.0,4.0,20.0,17.0,9.0
400579004,24.0,10.0,15.0,10.0,32.0,12.0,22.0,10.0,14.0,12.0,20.0,5.0
400579005,19.0,12.0,27.0,14.0,19.0,7.0,28.0,12.0,7.0,16.0,12.0,13.0
400579006,30.0,18.0,15.0,8.0,32.0,12.0,17.0,6.0,12.0,11.0,20.0,7.0
400579007,36.0,21.0,20.0,11.0,28.0,13.0,8.0,2.0,15.0,6.0,15.0,9.0
400579008,16.0,9.0,26.0,11.0,20.0,12.0,29.0,14.0,7.0,15.0,8.0,15.0
400579009,9.0,6.0,34.0,17.0,13.0,6.0,38.0,17.0,3.0,21.0,7.0,17.0
400579010,29.0,17.0,38.0,20.0,10.0,5.0,20.0,9.0,12.0,11.0,5.0,18.0
400579011,31.0,18.0,27.0,14.0,20.0,8.0,17.0,7.0,13.0,10.0,12.0,13.0
400579012,18.0,8.0,15.0,8.0,33.0,13.0,28.0,15.0,10.0,13.0,20.0,7.0
400579013,33.0,18.0,22.0,12.0,25.0,14.0,15.0,7.0,15.0,8.0,11.0,10.0
400579014,25.0,16.0,8.0,5.0,40.0,17.0,22.0,6.0,9.0,16.0,23.0,3.0
400579015,23.0,13.0,35.0,18.0,15.0,10.0,24.0,7.0,10.0,17.0,5.0,17.0
400579016,32.0,14.0,39.0,20.0,8.0,4.0,17.0,8.0,18.0,9.0,4.0,19.0
400579017,28.0,15.0,12.0,7.0,35.0,14.0,21.0,9.0,13.0,12.0,21.0,5.0
400579018,10.0,5.0,29.0,16.0,19.0,7.0,39.0,18.0,5.0,21.0,12.0,13.0
400579019,18.0,8.0,26.0,11.0,21.0,13.0,30.0,16.0,10.0,14.0,8.0,15.0
400579020,10.0,7.0,30.0,15.0,16.0,7.0,38.0,17.0,3.0,21.0,9.0,15.0
400579021,32.0,20.0,30.0,16.0,17.0,8.0,16.0,5.0,12.0,11.0,9.0,14.0
400579022,17.0,10.0,8.0,6.0,37.0,15.0,29.0,15.0,7.0,14.0,22.0,2.0
400579023,17.0,9.0,30.0,14.0,19.0,10.0,32.0,13.0,8.0,19.0,9.0,16.0
400579024,40.0,23.0,18.0,10.0,31.0,13.0,9.0,3.0,17.0,6.0,18.0,8.0
400579025,17.0,9.0,30.0,17.0,19.0,7.0,30.0,15.0,8.0,15.0,12.0,13.0
400579026,33.0,18.0,28.0,13.0,19.0,10.0,16.0,8.0,15.0,8.0,9.0,15.0
400579027,33.0,16.0,19.0,8.0,30.0,17.0,15.0,7.0,17.0,8.0,13.0,11.0
400579028,26.0,11.0,35.0,18.0,13.0,6.0,22.0,10.0,15.0,12.0,7.0,17.0
400579029,8.0,4.0,27.0,12.0,21.0,13.0,40.0,19.0,4.0,21.0,8.0,15.0
400579030,26.0,17.0,24.0,17.0,24.0,10.0,22.0,6.0,9.0,16.0,14.0,7.0
400579031,30.0,18.0,36.0,19.0,15.0,10.0,18.0,7.0,12.0,11.0,5.0,17.0
400579032,17.0,9.0,12.0,7.0,36.0,15.0,31.0,14.0,8.0,17.0,21.0,5.0
