id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,away_total,away_total_lastN,away_away,away_away_lastN,home_total,home_total_lastN,home_home,home_home_lastN
270130027,2,home,,,,2.83841697518,4.59523809524,0.686813186806,0.345238095238,3.4056561086,2.24535639656,2.48407148407,2.31792717087
270130006,2,home,,,,1.67399267399,3.42857142857,,,3.9843358396,3.7619047619,3.90986790987,4.92857142857
270130014,2,home,,,,-3.60978804478,-6.45662100457,-3.01515151515,-3.7619047619,-2.64924963925,-2.62328767123,,
270130018,2,home,,,,-3.2998813015,-2.62328767123,-1.02777777778,-1.775,-1.11533969388,-7.0518590998,-3.88705738706,-2.94397759104
270131001,2,home,,,,-0.524638742898,0.166666666667,-3.23632478632,-3.52777777778,-0.536892817325,-1.78611783697,-2.68463203464,-2.25
270131003,2,away,,,,1.34174736413,0.5,0.338744588759,0.761904761905,-0.424039728387,-2.0,3.88809523809,3.52380952381
270131016,2,away,,,,-3.20221861473,0.0353107344633,-3.40020242915,-3.88706896552,1.88589324619,4.77777777778,-2.62171717172,-0.880952380952
270131019,2,home,,,,-3.36307751846,-5.62328767123,-4.65151515152,-5.09523809524,-3.44506855374,-0.873287671233,-3.48124098124,-1.78921568627
270131022,2,home,,,,-2.58980030722,-1.57142857143,4.69155844156,4.2380952381,0.101787101788,0.345238095238,1.42727272727,1.2619047619
270131026,2,home,,,,2.21500478927,1.44047619048,5.68988095239,5.13793103448,-3.41907710452,-1.0,-10.2191558442,-40.5
270131028,2,home,,,,3.58212669683,2.24535639656,2.06822344322,-0.123973727422,0.171368861025,-0.214689265537,1.03486513486,-0.0436507936508
270131029,2,away,,,,2.61396546923,2.09523809524,6.66666666668,7.0,-0.0811111111061,-2.0,-3.50091136934,-2.3487394958
270131030,2,home,,,,-0.579735978718,-7.38519243314,0.752380952379,2.38888888889,-0.0456521739119,-1.0,-3.92735042736,-4.65476190476
270131002,2,away,,,,-4.47093393308,-4.0,-0.376262626265,0.129761904762,-5.08893838795,-4.2619047619,-9.80357142858,-11.1666666667
270131010,2,home,,,,-0.345238095238,-0.694716242661,-1.26318681319,-0.925793650794,2.30870629985,1.87671232877,0.471794871794,1.12745098039
270131012,2,home,,,,4.1482051282,7.27777777778,,,1.53540083105,0.75,-0.241327300153,0.373015873016
270131017,2,away,,,,1.0081002331,1.83333333333,0.665804783444,0.484126984127,-0.759137426905,-4.5,,
270201014,2,home,,,,-2.24583098062,-2.12328767123,-0.557142857145,-0.428571428571,-1.71451770452,-2.25,-3.91269841271,-2.57142857143
270201021,2,home,,,,1.24948754789,0.0119047619048,4.06488095239,3.13793103448,3.24126984127,2.6186440678,3.31666666667,3.85833333333
270202003,2,home,,,,0.875000000002,3.44444444444,-0.200000000001,-0.373015873016,0.0175187131694,0.5,0.0880952380914,0.761904761905
270202007,2,home,,,,0.429059829064,1.09523809524,-0.966534690799,-0.888888888889,-4.33343358396,-3.0,-4.07936507937,-2.38888888889
270202011,2,home,,,,-2.56260059974,-2.3813559322,0.109031491381,0.517692939245,2.82017758227,3.6186440678,0.640476190477,1.08333333333
270202020,2,away,,,,-1.51648656898,0.166666666667,-2.93632478633,-3.52777777778,1.40609519022,2.16666666667,-2.76911976912,-1.75
270202001,2,away,,,,2.31960415514,3.6186440678,1.175,3.0119047619,1.1641941392,0.142453591606,-4.00606060606,-3.32142857143
270202002,2,away,,,,2.57048855035,1.58333333333,1.52777777777,0.428571428571,-5.30732919255,-5.09523809524,-8.80357142857,-12.0
270202005,2,home,,,,1.85298330367,0.333333333333,5.40454545455,9.0,-2.63219461698,-2.62328767123,-5.04583333333,-7.3487394958
270202025,2,away,,,,3.68666666666,7.84920634921,-1.04188034188,-0.206349206349,-1.72619047619,-1.5518590998,-1.59096459097,-0.166666666667
270202008,2,home,,,,-3.2143360997,-8.62328767123,-4.47619047619,-5.66666666667,1.28280379041,2.90476190476,-3.06193806194,-2.07142857143
270202019,2,home,,,,0.0541959064298,-1.5,2.3,-0.928571428571,-1.72577030812,-0.373287671233,-3.33291562239,-1.92810457516
